1852,87
526,57
202,51
180,45
119,55
182,56
152,59
155,67
149,67
123,64
263,56
257,51
136,52
106,54
129,53
137,54
462,66
134,60
95,59
129,50
129,50
122,59
126,54
100,45
123,48
121,47
116,47
85,46
114,49
122,46
121,45
125,46
88,46
250,49
289,60
237,49
259,53
116,56
110,58
118,56
120,58
81,50
117,56
106,52
116,53
87,53
117,47
117,53
128,47
112,45
74,49
112,46
114,54
108,48
111,48
84,47
113,48
109,47
193,54
80,53
103,51
108,47
104,49
99,49
75,50
115,53
100,50
106,51
73,49
99,49
99,51
101,50
98,49
75,45
101,51
101,46
106,49
72,47
97,48
103,49
99,50
100,47
74,52
98,48
98,48
99,46
98,47
70,56
97,49
224,49
221,54
76,51
101,54
103,53
97,52
92,54
66,57
104,50
106,54
102,51
72,50
190,53
105,53
106,52
100,54
63,53
101,55
106,50
97,50
69,54
95,49
100,51
99,52
96,51
67,52
101,51
98,49
95,53
103,54
71,48
98,52
95,52
96,53
69,54
98,54
97,51
94,54
100,53
70,50
99,54
95,51
94,50
68,50
97,54
97,49
99,56
98,51
66,52
97,55
92,53
96,51
65,51
97,54
181,55
97,56
100,56
69,55
101,52
114,172
263,59
102,56
75,58
215,60
105,61
105,60
68,60
223,56
104,57
101,58
102,54
71,55
97,54
101,54
106,53
78,56
104,55
101,56
99,58
101,55
74,57
102,57
102,54
98,56
76,57
97,60
100,58
101,57
105,56
64,56
97,56
100,55
92,55
102,59
69,57
100,59
174,56
105,59
70,56
104,56
96,57
105,57
97,59
74,58
100,54
100,55
99,55
66,62
100,55
102,56
97,57
102,56
72,58
99,56
103,55
97,221
75,59
105,58
218,60
98,59
111,59
74,58
113,55
99,60
99,60
101,59
72,55
100,56
98,60
106,62
74,60
96,55
105,65
94,54
101,57
74,61
95,57
94,64
179,56
78,55
103,63
106,61
99,59
98,56
74,58
107,59
104,60
101,58
73,62
108,61
106,56
106,56
103,54
71,56
103,56
110,58
105,59
264,58
78,62
107,194
110,60
225,73
77,61
121,60
111,71
222,69
103,66
78,72
232,227
115,62
274,66
82,60
112,61
110,61
113,67
110,60
211,207
108,58
112,62
109,66
82,68
193,66
115,64
108,65
114,60
85,64
111,64
109,60
110,67
106,68
81,59
116,60
106,61
114,63
85,64
110,65
109,64
108,66
115,61
83,63
111,61
110,63
106,63
78,68
116,58
109,58
113,63
110,60
82,61
109,58
103,60
107,59
83,65
109,62
109,63
117,64
115,57
84,71
118,63
117,61
112,61
112,59
77,59
194,67
117,64
120,67
81,63
120,61
108,59
107,61
109,63
81,59
103,61
109,61
113,62
82,63
115,57
113,66
107,59
106,66
83,63
118,61
114,60
114,65
82,63
116,61
109,64
114,59
113,60
83,62
117,64
115,64
119,61
112,62
77,63
109,61
117,61
119,64
82,65
116,61
120,59
117,63
113,60
90,59
116,64
198,64
115,58
88,62
122,64
114,69
123,63
114,59
79,59
111,58
116,58
113,60
91,63
117,65
116,64
118,60
114,59
81,62
111,61
116,62
112,65
112,66
87,59
116,64
116,60
111,63
88,61
108,67
122,63
119,62
116,61
88,61
123,61
116,65
114,65
89,61
126,67
118,64
111,66
111,65
86,62
111,68
112,64
200,66
92,59
118,66
117,61
