Badlands_National_Park,SD,242756
Big_Bend_National_Park,TX,801163
Biscayne_National_Park,FL,172924
Canyonlands_National_Park,UT,337598
Capitol_Reef_National_Park,UT,241904
Channel_Islands_National_Park,CA,249561
Crater_Lake_National_Park,OR,183224
Everglades_National_Park,FL,1508538
Glacier_National_Park,MT,1013572
Grand_Canyon_National_Park,AZ,1217403
Great_Smoky_Mountains_National_Park,TN,521490
Grand_Teton_National_Park,WY,309995
Hawaii_Volcanoes_National_Park,HI,323431
Isle_Royale_National_Park,MI,571790
Joshua_Tree_National_Park,CA,789745
Kenai_Fjords_National_Park,AK,669983
Kobuk_Valley_National_Park,AK,1750717
Lassen_Volcanic_National_Park,CA,106372
Mount_Rainier_National_Park,WA,235625
North_Cascades_National_Park,WA,504781
Olympic_National_Park,WA,922651
Petrified_Forest_National_Park,AZ,93533
Redwood_National_Park,CA,112512
Rocky_Mountain_National_Park,CO,265828
Sequoia_and_Kings_Canyon_National_Parks,CA,865952
Shenandoah_National_Park,VA,199045
Voyageurs_National_Park,MN,218200
Yosemite_National_Park,CA,761266
Zion_National_Park,UT,146598
